"","PID","Trial","Enc_or_Ret","CA1","CA3"
"1","20230530_SDT04",1,1,-1.66499672941946,-1.15373397930001
"2","20230530_SDT04",2,1,-0.279651185432158,-0.231511949812616
"3","20230530_SDT04",3,1,-0.0161869211820396,0.315487628282551
"4","20230530_SDT04",4,1,-0.534062745784529,-0.298917408086158
"5","20230530_SDT04",5,1,-0.470235282946382,0.0640058328070351
"6","20230530_SDT04",6,1,-0.951409166134557,0.538181782096859
"7","20230530_SDT04",7,1,-0.0875158811989827,1.3351465747289
"8","20230530_SDT04",8,1,-0.241442084084622,0.861037806405157
"9","20230530_SDT04",9,1,-1.4868358381767,-1.0076111753853
"10","20230530_SDT04",10,1,0.202095899559332,-0.135123011578902
"11","20230530_SDT04",11,1,0.410578038681889,1.26133557718461
"12","20230530_SDT04",12,1,0.330258310077044,-0.672857601724451
"13","20230530_SDT04",13,1,0.639110597954442,0.267451118482361
"14","20230530_SDT04",14,1,0.246144387297082,-0.214141407148359
"15","20230530_SDT04",15,1,0.791926228278751,0.737031581242037
"16","20230530_SDT04",16,1,0.33024279570256,0.0223727730021032
"17","20230530_SDT04",17,1,-0.102998038655183,-0.721613538346404
"18","20230530_SDT04",18,1,-1.03167181009733,1.47657763845044
"19","20230530_SDT04",19,1,0.0144337764675492,-1.09262375229517
"20","20230530_SDT04",20,1,0.491643176174501,-0.772083519430525
"21","20230530_SDT04",21,1,-0.0681014489266335,0.401648850728934
"22","20230530_SDT04",22,1,0.296094347705525,0.0912456235772855
"23","20230530_SDT04",23,1,0.424886878210921,-0.607491380331811
"24","20230530_SDT04",24,1,-0.93514224915765,-2.05258544258069
"25","20230530_SDT04",25,1,0.670401354768766,0.305194430374582
"26","20230530_SDT04",26,1,0.528421733778785,0.479384058365716
"27","20230530_SDT04",27,1,0.518364896106352,0.144197411686161
"28","20230530_SDT04",28,1,0.155506855128928,-0.39363810262131
"29","20230530_SDT04",29,1,0.515370342122932,1.74585133916611
"30","20230530_SDT04",30,1,0.169707022312299,0.897265951139097
"31","20230530_SDT04",31,1,0.433560751193244,-0.944285163582043
"32","20230530_SDT04",32,1,-0.825923992713247,-0.846818718691734
"33","20230530_SDT04",33,1,0.474602263922311,0.685226669288366
"34","20230530_SDT04",34,1,-0.910824799518203,-0.593372544395393
"35","20230530_SDT04",35,1,-0.306817770142455,0.968345324072551
